,categoria,subcategoria,nombre,marca,peso,precio,fecha
217,Pasta,Espirales orgánicos,Bio espirales de garbanzos 300g Organic Sac,Organic Sac,300.0,"3,81",2023-06-30
218,Pasta,Espirales orgánicos,Fusilli de maíz y arroz 500g Bio Cesta,Bio Cesta,500.0,"3,43",2023-06-30
219,Pasta,Espirales orgánicos,Pasta Fusilli de Garbanzos con Cúrcuma Sin Gluten 250g Zealia,Zealia,250.0,"4,15",2023-06-30
220,Pasta,Espirales orgánicos,Espirales de espelta Eco 500g Castagno,Castagno,500.0,"3,71",2023-06-30
221,Pasta,Espirales orgánicos,Bio espirales de trigo sarraceno 300g Organic Sac,Organic Sac,300.0,"3,81",2023-06-30
222,Pasta,Espirales orgánicos,Espirales de Trigo 500g Castagno,Castagno,500.0,"1,59",2023-06-30
223,Pasta,Espirales orgánicos,Espirales de arroz y vegetales 250g Orgran,Orgran,250.0,"3,06",2023-06-30
224,Pasta,Espirales orgánicos,Fettucine de Konjac 400g Slendier,Slendier,400.0,"3,60",2023-06-30
225,Pasta,Espaguetis ecológicos,Espagueti integral bio 500g Bio Cesta,Bio Cesta,500.0,"1,66",2023-06-30
226,Pasta,Espaguetis ecológicos,Tallarín Integral 500g Bio Cesta,Bio Cesta,500.0,"1,70",2023-06-30
227,Pasta,Espaguetis ecológicos,Espagueti espelta integral bio 500g Bio Cesta,Bio Cesta,500.0,"2,94",2023-06-30
228,Pasta,Espaguetis ecológicos,Espagueti de espelta con espirulina 250g Biográ,Biográ,250.0,"2,66",2023-06-30
229,Pasta,Espaguetis ecológicos,Espagueti de centeno 500g La Finestra Sul Cielo,La Finestra Sul Cielo,500.0,"2,96",2023-06-30
230,Pasta,Espaguetis ecológicos,Espaguetis de arroz y quinoa real 250g Quinua Real,Quinua Real,250.0,"2,39",2023-06-30
231,Pasta,Espaguetis ecológicos,Espagueti de quinoa al curry 500g Priméal,Priméal,500.0,"4,10",2023-06-30
232,Pasta,Espaguetis ecológicos,Espaguetis blancos bio 500g Bio Cesta,Bio Cesta,500.0,"1,66",2023-06-30
233,Pasta,Espaguetis ecológicos,Espaguetis de Lentejas Rojas 250g Biográ,Biográ,250.0,"3,51",2023-06-30
234,Pasta,Espaguetis ecológicos,Espagueti de garbanzos 250g Biográ,Biográ,250.0,"2,81",2023-06-30
235,Pasta,Espaguetis ecológicos,Espagueti de Espelta y Quinoa 250g Biográ,Biográ,250.0,"3,52",2023-06-30
236,Pasta,Espaguetis ecológicos,Espaguetis de Espelta 500g Castagno,Castagno,500.0,"3,71",2023-06-30
237,Pasta,Espaguetis ecológicos,Espaguetis Andinos de Arroz y Quinoa Real Sin Gluten 250g Oleander,Oleander,250.0,"4,53",2023-06-30
238,Pasta,Espaguetis ecológicos,Espaguetis de Konjac 400g Slendier,Slendier,400.0,"3,60",2023-06-30
239,Pasta,Espaguetis ecológicos,Espaguetis de Konjac con Albahaca 200g The Konjac Shop,The Konjac Shop,200.0,"3,49",2023-06-30
240,Pasta,Espaguetis ecológicos,Espaguetis de Konjac con Avena 200g The Konjac Shop,The Konjac Shop,200.0,"3,49",2023-06-30
241,Pasta,Espaguetis ecológicos,Espaguetis Konjac Shirataki Deshidratado 75g Zenpasta,Zenpasta,75.0,"2,80",2023-06-30
242,Pasta,Espaguetis ecológicos,Espaguetis de Guisantes 250g Biográ,Biográ,250.0,"2,81",2023-06-30
243,Pasta,Espaguetis ecológicos,Espaguetis de maíz y arroz 500g Bio Cesta,Bio Cesta,500.0,"3,24",2023-06-30
244,Pasta,Espaguetis ecológicos,Espaguetis de Konjac 200g The Konjac Shop,The Konjac Shop,200.0,"3,49",2023-06-30
245,Pasta,Fideos ecológicos,Fideos de arroz 250g Go-Tan,Go-Tan,250.0,"3,95",2023-06-30
246,Pasta,Fideos ecológicos,Fideo integral 500g Bio Cesta,Bio Cesta,500.0,"1,99",2023-06-30
247,Pasta,Fideos ecológicos,Fideo espelta integral 500g Bio Cesta,Bio Cesta,500.0,"2,94",2023-06-30
248,Pasta,Fideos ecológicos,Fideo Fino de Espelta 250g Biográ,Biográ,250.0,"2,85",2023-06-30
249,Pasta,Fideos ecológicos,Fideo de arroz Bifun 150g La Finestra Sul Cielo,La Finestra Sul Cielo,150.0,"5,75",2023-06-30
250,Pasta,Fideos ecológicos,Fideo Nº5 integral 500g Vegetalia,Vegetalia,500.0,"2,72",2023-06-30
251,Pasta,Fideos ecológicos,Fideos finos blancos 500g Bio Cesta,Bio Cesta,500.0,"1,66",2023-06-30
252,Pasta,Fideos ecológicos,Fideos anellini 250g Schär,Schär,250.0,"2,28",2023-06-30
253,Pasta,Fideos ecológicos,Fideos de Arroz Integral Sin Gluten 200g Clearspring,Clearspring,200.0,"6,37",2023-06-30
254,Pasta,Fideos ecológicos,Fideos de maíz y arroz sin gluten bio 500g El Granero Integral,El Granero Integral,500.0,"6,29",2023-06-30
255,Pasta,Fideos ecológicos,Fideos de huevo 250g Yakso,Yakso,250.0,"3,80",2023-06-30
256,Pasta,Fideos ecológicos,Fideos de Arroz Integral 100% 250g Terrasana,Terrasana,250.0,"4,04",2023-06-30
257,Pasta,Fideos ecológicos,Fideos de alforfón y papa dulce 250g Terrasana,Terrasana,250.0,"4,04",2023-06-30
258,Pasta,Fideos ecológicos,Fideos de arroz integral y wakame 250g Terrasana,Terrasana,250.0,"4,04",2023-06-30
259,Pasta,Fideos ecológicos,Fideos de arroz thai 250g Terrasana,Terrasana,250.0,"4,04",2023-06-30
260,Pasta,Fideos ecológicos,Fideo fino con vegetales 250g Biográ,Biográ,250.0,"2,29",2023-06-30
261,Pasta,Fideos ecológicos,Fideos Andinos de Arroz y Quinoa Real Sin Gluten 500g Oleander,Oleander,500.0,"6,90",2023-06-30
262,Pasta,Fideos ecológicos,Fideos de Konjac en Nudos 200g The Konjac Shop,The Konjac Shop,200.0,"3,49",2023-06-30
263,Pasta,Macarrones ecológicos,Macarrón Integral 500g Bio Cesta,Bio Cesta,500.0,"1,79",2023-06-30
264,Pasta,Macarrones ecológicos,Macarrón de espelta integral 500g Bio Cesta,Bio Cesta,500.0,"2,94",2023-06-30
265,Pasta,Macarrones ecológicos,Penne de arroz y quinoa real 250g Quinua Real,Quinua Real,250.0,"2,39",2023-06-30
266,Pasta,Macarrones ecológicos,Macarrones con quinoa y remolacha 500g Vegetalia,Vegetalia,500.0,"3,11",2023-06-30
267,Pasta,Macarrones ecológicos,Macarrón blanco bio 500g Bio Cesta,Bio Cesta,500.0,"1,66",2023-06-30
268,Pasta,Macarrones ecológicos,Macarrones Andinos de Arroz y Quinoa Real Sin Gluten 500g Oleander,Oleander,500.0,"6,95",2023-06-30
269,Pasta,Macarrones ecológicos,Penne Rigate con Konjac 260g Zenpasta,Zenpasta,260.0,"4,58",2023-06-30
270,Pasta,Macarrones ecológicos,Macarrones Konjac Rigataki Deshidratado 60g Zenpasta,Zenpasta,60.0,"2,89",2023-06-30
271,Pasta,Macarrones ecológicos,Macarrones de Konjac 200g The Konjac Shop,The Konjac Shop,200.0,"3,49",2023-06-30
272,Pasta,Macarrones ecológicos,Macarrones integrales de centeno 500g La Finestra Sul Cielo,La Finestra Sul Cielo,500.0,"2,96",2023-06-30
273,Pasta,Macarrones ecológicos,Macarrones sin Gluten 250g Belvas,Balviten,250.0,"2,59",2023-06-30
274,Pasta,Macarrones ecológicos,Macarrones de trigo sarraceno 250g Altricereali,Altricereali,250.0,"4,50",2023-06-30
275,Pasta,Pasta de quinoa,Quinoa Real 500 gr,Bio Cesta,500.0,"4,44",2023-06-30
276,Pasta,Pasta de quinoa,Quinoa 1kg Bio Cesta,Bio Cesta,1.0,"8,31",2023-06-30
277,Pasta,Pasta de quinoa,Espirales de arroz y quinoa real bio 250g Quinua Real,Quinua Real,250.0,"2,39",2023-06-30
278,Pasta,Pasta de quinoa,Espaguetis de arroz y quinoa real 250g Quinua Real,Quinua Real,250.0,"2,39",2023-06-30
279,Pasta,Pasta de quinoa,Penne de arroz y quinoa real 250g Quinua Real,Quinua Real,250.0,"2,39",2023-06-30
280,Pasta,Pasta de quinoa,Macarrones con quinoa y remolacha 500g Vegetalia,Vegetalia,500.0,"3,11",2023-06-30
281,Pasta,Pasta de quinoa,Espagueti de quinoa al curry 500g Priméal,Priméal,500.0,"4,10",2023-06-30
282,Pasta,Pasta de quinoa,Espagueti de Espelta y Quinoa 250g Biográ,Biográ,250.0,"3,52",2023-06-30
283,Pasta,Pasta de quinoa,Macarrones Andinos de Arroz y Quinoa Real Sin Gluten 500g Oleander,Oleander,500.0,"6,95",2023-06-30
284,Pasta,Pasta de quinoa,Pop Andino Copos Inflados de Arroz y Quinoa Real 120g Oleander,Oleander,120.0,"3,37",2023-06-30
285,Pasta,Pasta de quinoa,Espaguetis Andinos de Arroz y Quinoa Real Sin Gluten 250g Oleander,Oleander,250.0,"4,53",2023-06-30
286,Pasta,Pasta de quinoa,Fideos Andinos de Arroz y Quinoa Real Sin Gluten 500g Oleander,Oleander,500.0,"6,90",2023-06-30
287,Pasta,Pasta de espelta,Espagueti de espelta con espirulina 250g Biográ,Biográ,250.0,"2,66",2023-06-30
288,Pasta,Pasta de espelta,Espiral espelta integral 500g Bio Cesta,Bio Cesta,500.0,"2,94",2023-06-30
289,Pasta,Pasta de espelta,Espirales de espelta Eco 500g Castagno,Castagno,500.0,"3,71",2023-06-30
290,Pasta,Pasta de espelta,Espagueti espelta integral bio 500g Bio Cesta,Bio Cesta,500.0,"2,94",2023-06-30
291,Pasta,Pasta de espelta,Macarrón de espelta integral 500g Bio Cesta,Bio Cesta,500.0,"2,94",2023-06-30
292,Pasta,Pasta de espelta,Fideo espelta integral 500g Bio Cesta,Bio Cesta,500.0,"2,94",2023-06-30
293,Pasta,Pasta de espelta,Fideo Fino de Espelta 250g Biográ,Biográ,250.0,"2,85",2023-06-30
294,Pasta,Pasta de espelta,Espagueti de Espelta y Quinoa 250g Biográ,Biográ,250.0,"3,52",2023-06-30
295,Pasta,Pasta de espelta,Espaguetis de Espelta 500g Castagno,Castagno,500.0,"3,71",2023-06-30
296,Pasta,Pasta de trigo,Lasaña blanca 250g La Bio Idea,La Bio Idea,250.0,"2,89",2023-06-30
297,Pasta,Pasta de trigo,Pasta instantánea de trigo sarraceno 250g King Soba,King Soba,250.0,"4,19",2023-06-30
298,Pasta,Pasta de trigo,Bio espirales de trigo sarraceno 300g Organic Sac,Organic Sac,300.0,"3,81",2023-06-30
299,Pasta,Pasta de trigo,Galets de Trigo Duro 500g Castagno,Castagno,500.0,"1,59",2023-06-30
300,Pasta,Pasta de trigo,Espagueti integral bio 500g Bio Cesta,Bio Cesta,500.0,"1,66",2023-06-30
301,Pasta,Pasta de trigo,Macarrón Integral 500g Bio Cesta,Bio Cesta,500.0,"1,79",2023-06-30
302,Pasta,Pasta de trigo,Tallarín Integral 500g Bio Cesta,Bio Cesta,500.0,"1,70",2023-06-30
303,Pasta,Pasta de trigo,Fideo integral 500g Bio Cesta,Bio Cesta,500.0,"1,99",2023-06-30
304,Pasta,Pasta de trigo,Espirales integral bio 500g Bio Cesta,Bio Cesta,500.0,"1,70",2023-06-30
305,Pasta,Pasta de trigo,Fideo Nº5 integral 500g Vegetalia,Vegetalia,500.0,"2,72",2023-06-30
306,Pasta,Pasta de trigo,Fideos finos blancos 500g Bio Cesta,Bio Cesta,500.0,"1,66",2023-06-30
307,Pasta,Pasta de trigo,Macarrón blanco bio 500g Bio Cesta,Bio Cesta,500.0,"1,66",2023-06-30
308,Pasta,Pasta de trigo,Espaguetis blancos bio 500g Bio Cesta,Bio Cesta,500.0,"1,66",2023-06-30
309,Pasta,Pasta de trigo,Espiral tricolor 500g Bio Cesta,Bio Cesta,500.0,"2,62",2023-06-30
310,Pasta,Pasta de trigo,Fideo fino con vegetales 250g Biográ,Biográ,250.0,"2,29",2023-06-30
311,Pasta,Pasta de trigo,Pasta Maravilla con Vegetales 250g Biográ,Biográ,250.0,"2,29",2023-06-30
312,Pasta,Pasta de trigo,Macarrones de trigo sarraceno 250g Altricereali,Altricereali,250.0,"4,50",2023-06-30
313,Pasta,Pasta de trigo,Espirales de Trigo 500g Castagno,Castagno,500.0,"1,59",2023-06-30
314,Pasta,Pasta de trigo,Lazos de Trigo 500g Iris,Iris,500.0,"1,80",2023-06-30
315,Bebidas y refrescos,Bebidas vegetales,Bebida de Avena en Polvo 400g Avebin,Avebin,400.0,"10,99",2023-06-30
316,Bebidas y refrescos,Bebidas vegetales,Bebida de Avena Calciavena 1L Santiveri,Santiveri,1.0,"2,75",2023-06-30
317,Bebidas y refrescos,Bebidas vegetales,Bebida de espelta 1L Isola Bio,Isola Bio,1,"2,96",2023-06-30
318,Bebidas y refrescos,Bebidas vegetales,Bebida de Mijo 1L Isola Bio,Isola Bio,1.0,"2,87",2023-06-30
319,Bebidas y refrescos,Bebidas vegetales,Bebida de Alpiste 1L Soria Natural,Soria Natural,1.0,"2,32",2023-06-30
320,Bebidas y refrescos,Bebidas vegetales,Bebida de avena 1L Soria Natural,Soria Natural,1.0,"1,65",2023-06-30
321,Bebidas y refrescos,Bebidas vegetales,Bebida de Arroz 1L Soria Natural,Soria Natural,1.0,"2,00",2023-06-30
322,Bebidas y refrescos,Bebidas vegetales,Bebida de Arroz con vainilla Bio 1L Rice & Rice,Probios,1.0,"3,95",2023-06-30
323,Bebidas y refrescos,Bebidas vegetales,Bebida de Quinoa Real y Arroz sin Gluten 1L Quinua Real,Quinua Real,1.0,"2,65",2023-06-30
324,Bebidas y refrescos,Bebidas vegetales,Bebida de arroz con Avellana 1L La Finestra Sul Cielo,La Finestra Sul Cielo,1.0,"2,99",2023-06-30
325,Bebidas y refrescos,Bebidas vegetales,Bebida de Avena con Calcio 1L La Finestra Sul Cielo,La Finestra Sul Cielo,1.0,"2,40",2023-06-30
326,Bebidas y refrescos,Bebidas vegetales,Bebida de Avena Sin Gluten 1L La Finestra Sul Cielo,La Finestra Sul Cielo,1.0,"2,20",2023-06-30
327,Bebidas y refrescos,Bebidas vegetales,Bebida de Avena Calcio 1L Natumi,Natumi,1.0,"2,40",2023-06-30
328,Bebidas y refrescos,Bebidas vegetales,Bebida de almendra con calcio en polvo 400g Ecomil,Ecomil,400.0,"15,75",2023-06-30
329,Bebidas y refrescos,Bebidas vegetales,Bebida de Soja con Chocolate 1L Provamel,Provamel,1.0,"3,25",2023-06-30
330,Bebidas y refrescos,Bebidas vegetales,Bebida de Soja con Chocolate 250ml Provamel,Provamel,250.0,"1,25",2023-06-30
331,Bebidas y refrescos,Bebidas vegetales,Crema de almendra para diluir 325g Bio Cesta,Bio Cesta,325.0,"12,40",2023-06-30
332,Bebidas y refrescos,Bebidas vegetales,Bebida de avena 1L La Finestra Sul Cielo,La Finestra Sul Cielo,1.0,"1,99",2023-06-30
333,Bebidas y refrescos,Bebidas vegetales,Bebida de Arroz 1L Monsoy,Monsoy,1.0,"2,39",2023-06-30
334,Bebidas y refrescos,Bebidas vegetales,Bebida de coco natural bio 500ml Vegetalia,Vegetalia,500.0,"3,54",2023-06-30
335,Bebidas y refrescos,Zumos naturales de fruta,Zumo ecológico de granada 750ml Rabenhorst,Rabenhorst,750.0,"12,75",2023-06-30
336,Bebidas y refrescos,Zumos naturales de fruta,Zumo ecológico de arándano azul 330ml Rabenhorst,Rabenhorst,330.0,"9,85",2023-06-30
337,Bebidas y refrescos,Zumos naturales de fruta,Zumo de arándano rojo americano 750ml Rabenhorst,Rabenhorst,750.0,"12,25",2023-06-30
338,Bebidas y refrescos,Zumos naturales de fruta,Zumo de ciruela 750ml Rabenhorst,Rabenhorst,750.0,"6,30",2023-06-30
339,Bebidas y refrescos,Zumos naturales de fruta,Zumo de remolacha ecológico 750ml Rabenhorst,Rabenhorst,750.0,"6,30",2023-06-30
340,Bebidas y refrescos,Zumos naturales de fruta,Zumo Limonada Eco 1L Cal Valls,Cal Valls,1.0,"3,73",2023-06-30
341,Bebidas y refrescos,Zumos naturales de fruta,Zumo de manzana bio 200ml Cal Valls,Cal Valls,200.0,"1,11",2023-06-30
342,Bebidas y refrescos,Zumos naturales de fruta,Zumo de mandarina bio 200ml Cal Valls,Cal Valls,200.0,"1,26",2023-06-30
343,Bebidas y refrescos,Zumos naturales de fruta,Polo de Hielo Bio 10ud La Finestra Sul Cielo,La Finestra Sul Cielo,10.0,"2,99",2023-06-30
344,Bebidas y refrescos,Zumos naturales de fruta,Zumo de abedul 200ml Weleda,Weleda,200.0,"15,80",2023-06-30
345,Bebidas y refrescos,Zumos naturales de fruta,Zumo sin azúcar cocktail junior 200ml Vitamont,Vitamont,200.0,"1,75",2023-06-30
346,Bebidas y refrescos,Zumos naturales de fruta,Zumo natural de piña 200ml Vitamont,Vitamont,200.0,"1,89",2023-06-30
347,Bebidas y refrescos,Zumos naturales de fruta,Zumo de uva roja 1L Bio Cesta,Bio Cesta,1.0,"3,25",2023-06-30
348,Bebidas y refrescos,Zumos naturales de fruta,Zumo de zanahoria 1L Bio Cesta,Bio Cesta,1.0,"3,24",2023-06-30
349,Bebidas y refrescos,Zumos naturales de fruta,Zumo de piña 1L Bio Cesta,Bio Cesta,1.0,"4,39",2023-06-30
350,Bebidas y refrescos,Zumos naturales de fruta,Zumo de pera 1L Bio Cesta,Bio Cesta,1.0,"3,23",2023-06-30
351,Bebidas y refrescos,Zumos naturales de fruta,Zumo de melocotón 1L Bio Cesta,Bio Cesta,1.0,"3,23",2023-06-30
352,Bebidas y refrescos,Zumos naturales de fruta,Zumo de granada 1L Bio Cesta,Bio Cesta,1,"7,33",2023-06-30
353,Bebidas y refrescos,Zumos naturales de fruta,Zumo de uva roja 200ml Bio Cesta,Bio Cesta,200.0,"1,16",2023-06-30
354,Bebidas y refrescos,Zumos naturales de fruta,Zumo de uva blanca bio 200ml Cal Valls,Cal Valls,200.0,"1,31",2023-06-30
355,Bebidas y refrescos,Refrescos ecológicos,Refresco de cola sin azúcar 330ml Whole Earth,Whole Earth,330.0,"1,27",2023-06-30
356,Bebidas y refrescos,Refrescos ecológicos,Refresco de limón sin azúcar 330ml Whole Earth,Whole Earth,330.0,"1,27",2023-06-30
357,Bebidas y refrescos,Refrescos ecológicos,Refresco de jengibre sin azúcar 330ml Whole Earth,Whole Earth,330.0,"1,27",2023-06-30
358,Bebidas y refrescos,Refrescos ecológicos,Refresco de arándanos sin azúcar 330ml Whole Earth,Whole Earth,330.0,"1,27",2023-06-30
359,Bebidas y refrescos,Refrescos ecológicos,"Sangría con Naranja, Canela & Burbujas 275ml Sangría Republic",Sangría Republic,275.0,"2,09",2023-06-30
360,Bebidas y refrescos,Refrescos ecológicos,Polo de Hielo Bio 10ud La Finestra Sul Cielo,La Finestra Sul Cielo,10.0,"2,99",2023-06-30
361,Bebidas y refrescos,Refrescos ecológicos,Refresco de manzana sin azúcar 330ml Whole Earth,Whole Earth,330.0,"1,27",2023-06-30
362,Bebidas y refrescos,Refrescos ecológicos,Bebida Energética Matcha 250ml Ekotrebol,Ekotrebol,250.0,"1,85",2023-06-30
363,Bebidas y refrescos,Refrescos ecológicos,"Sangría de Vino Blanco con Pomelo Rosa, Enebro, Tónica & Burbujas 275ml Sangría Republic",Sangría Republic,275.0,"2,09",2023-06-30
364,Bebidas y refrescos,Kombucha,Kombucha Greenvida 250ml Komvida,Komvida,250.0,"2,65",2023-06-30
365,Bebidas y refrescos,Kombucha,Kombucha Gingervida 250ml Komvida,Komvida,250.0,"2,65",2023-06-30
366,Bebidas y refrescos,Kombucha,Kombucha Berryvida 250ml Komvida,Komvida,250.0,"2,65",2023-06-30
367,Bebidas y refrescos,Kombucha,Kombucha de cúrcuma 333ml Bio Kombucha,Bio Kombucha,333.0,"3,09",2023-06-30
368,Bebidas y refrescos,Kombucha,Kombucha de zanahoria y cúrcuma 250ml Komvida,Komvida,250.0,"2,65",2023-06-30
369,Bebidas y refrescos,Kombucha,Kombucha sabor Kombujito 250ml Komvida,Komvida,250.0,"2,65",2023-06-30
370,Bebidas y refrescos,Kombucha,Kombucha Grenvida 750ml Komvida,Komvida,750.0,"7,65",2023-06-30
371,Bebidas y refrescos,Kombucha,Kombucha Gingervida 750ml Komvida,Komvida,750.0,"7,65",2023-06-30
372,Bebidas y refrescos,Kombucha,Kombucha Berryvida 750ml Komvida,Komvida,750.0,"7,65",2023-06-30
373,Bebidas y refrescos,Kombucha,"Kombucha de Manzana, Canela y Vainilla 750ml Komvida",Komvida,750.0,"7,65",2023-06-30
374,Bebidas y refrescos,Kombucha,Kombucha de Zanahoria y Cúrcuma 750ml Komvida,Komvida,750.0,"7,65",2023-06-30
375,Bebidas y refrescos,Kombucha,Kombucha sabor Kombujito 750ml Komvida,Komvida,750.0,"7,65",2023-06-30
376,Bebidas y refrescos,Kombucha,Kombucha de rooibos 333ml Bio Kombucha,Bio Kombucha,333.0,"3,09",2023-06-30
377,Bebidas y refrescos,Kombucha,Kombucha de limón 333ml Bio Kombucha,Bio Kombucha,333.0,"3,09",2023-06-30
378,Bebidas y refrescos,Kombucha,Kombucha de té verde 333ml Bio Kombucha,Bio Kombucha,333.0,"3,09",2023-06-30
379,Bebidas y refrescos,Kombucha,Kombucha de frutas del bosque 333ml Bio Kombucha,Bio Kombucha,333.0,"3,09",2023-06-30
380,Bebidas y refrescos,Kombucha,"Kombucha de yerba mate grande 1,5L Bio Kombucha",Bio Kombucha,1.5,"8,99",2023-06-30
381,Bebidas y refrescos,Kombucha,Kombucha de jengibre 333ml Bio Kombucha,Bio Kombucha,333.0,"3,09",2023-06-30
382,Bebidas y refrescos,Kombucha,Kombucha de yerba mate 333ml Bio Kombucha,Bio Kombucha, ,"3,09",2023-06-30
383,Bebidas y refrescos,Kombucha,Kombucha de Té Rojo Pu-erh 333ml Bio Kombucha,Bio Kombucha, ,"3,09",2023-06-30
384,Bebidas y refrescos,Café ecológico y sustitutivos,Café orgánico y molido de Colombia 250g Bio Cesta,Bio Cesta,250.0,"5,25",2023-06-30
385,Bebidas y refrescos,Café ecológico y sustitutivos,Café orgánico y molido de Honduras 250g Bio Cesta,Bio Cesta,250.0,"4,75",2023-06-30
386,Bebidas y refrescos,Café ecológico y sustitutivos,"Café orgánico, molido y descafeinado de México 250g Bio Cesta",Bio Cesta,250.0,"5,35",2023-06-30
387,Bebidas y refrescos,Café ecológico y sustitutivos,Café verde molido 400g Bio Cesta,Bio Cesta,400.0,"4,25",2023-06-30
388,Bebidas y refrescos,Café ecológico y sustitutivos,Café de Colombia 10 cápsulas Alternativa3,Alternativa3,10.0,"4,17",2023-06-30
389,Bebidas y refrescos,Café ecológico y sustitutivos,Bio Café Instantáneo Soluble 100g Organic Sac,Organic Sac,100.0,"5,99",2023-06-30
390,Bebidas y refrescos,Café ecológico y sustitutivos,Bio Achicoria Soluble 100g Organic Sac,Organic Sac,100.0,"4,15",2023-06-30
391,Bebidas y refrescos,Café ecológico y sustitutivos,Bio Bebida de Cereal Soluble 100g Organic Sac,Organic Sac,100.0,"4,65",2023-06-30
392,Bebidas y refrescos,Café ecológico y sustitutivos,Café preparado Cappuccino 230ml Coolife,Coolife,230.0,"1,50",2023-06-30
393,Bebidas y refrescos,Café ecológico y sustitutivos,Café essenziale molido 250g Alternativa3,Alternativa3,250.0,"5,10",2023-06-30
394,Bebidas y refrescos,Café ecológico y sustitutivos,Café Fortisimo Molido 250g Alternativa3,Alternativa3,250.0,"4,66",2023-06-30
395,Bebidas y refrescos,Café ecológico y sustitutivos,Café Molido Selección 100% Arábica 250g Destination,Destination,250.0,"5,99",2023-06-30
396,Bebidas y refrescos,Café ecológico y sustitutivos,Café México Molido 250g Destination,Destination,250.0,"6,43",2023-06-30
397,Bebidas y refrescos,Café ecológico y sustitutivos,Café Descafeinado Arábica Suave 250g Destination,Destination,250.0,"5,99",2023-06-30
398,Bebidas y refrescos,Café ecológico y sustitutivos,Café Moka Ethiopia 250gr Destination,Destination,250.0,"6,02",2023-06-30
399,Bebidas y refrescos,Café ecológico y sustitutivos,Café México En Grano 100% Arábica 250g Destination,Destination,250.0,"5,99",2023-06-30
400,Bebidas y refrescos,Café ecológico y sustitutivos,Café Colombia Molido 250g Destination,Destination,250.0,"6,69",2023-06-30
401,Bebidas y refrescos,Café ecológico y sustitutivos,Café Descafeinado 10 cápsulas Alternativa3,Alternativa3,10.0,"4,09",2023-06-30
402,Bebidas y refrescos,Café ecológico y sustitutivos,Café Lungo 10 cápsulas compostables Alternativa3,Alternativa3,10.0,"3,57",2023-06-30
403,Bebidas y refrescos,Café ecológico y sustitutivos,Cafe fortísimo 10 cápsulas Alternativa3,Alternativa3,10.0,"3,45",2023-06-30
404,Bebidas y refrescos,Vinos y licores ecológicos,Vino Los Frailes joven 750ml Casa Los Frailes,Casa Los Frailes,750.0,"6,69",2023-06-30
405,Bebidas y refrescos,Vinos y licores ecológicos,Vino Los Frailes de barrica 750ml Casa Los Frailes,Casa Los Frailes,750.0,"7,85",2023-06-30
406,Bebidas y refrescos,Vinos y licores ecológicos,Vino Tinto Señorío Alapont Rioja Joven 750ml Señorío De Alapont,Señorío De Alapont,750.0,"6,39",2023-06-30
407,Bebidas y refrescos,Vinos y licores ecológicos,Vino Tinto 75cl Mestizaje,Mestizaje,750.0,"10,89",2023-06-30
408,Bebidas y refrescos,Vinos y licores ecológicos,Vino Blanco 750ml Ciento Volando,Ciento Volando,750.0,"5,89",2023-06-30
409,Bebidas y refrescos,Vinos y licores ecológicos,Vino Tinto 750ml Las Aves De Paso,Las Aves De Paso,750.0,"7,00",2023-06-30
410,Bebidas y refrescos,Vinos y licores ecológicos,Sidra dulce sin sulfitos ecológica 75cl M. Busto,M. Busto,750.0,"3,45",2023-06-30
411,Bebidas y refrescos,Vinos y licores ecológicos,Vermut rosado Volando ecológico 750ml Ciento Volando,Ciento Volando,750.0,"9,95",2023-06-30
412,Bebidas y refrescos,Vinos y licores ecológicos,Vino Tinto Joven Marqués de Cáceres 75cl Marqués De Cáceres,Marqués De Cáceres,750.0,"7,19",2023-06-30
413,Bebidas y refrescos,Vinos y licores ecológicos,Vino Blanco Verdejo 75cl Menade,Menade,750.0,"8,90",2023-06-30
414,Bebidas y refrescos,Vinos y licores ecológicos,Vino Blanco Marques de Riscal Verdejo 75cl Marqués De Riscal,Marqués De Riscal,750.0,"9,95",2023-06-30
415,Bebidas y refrescos,Vinos y licores ecológicos,Vino Blanco Sauvignon Blanc 75cl Marqués De Riscal,Marqués De Riscal,750.0,"12,95",2023-06-30
416,Bebidas y refrescos,Vinos y licores ecológicos,Vino Blanco 75cl Protos,Protos,750.0,"9,95",2023-06-30
417,Bebidas y refrescos,Vinos y licores ecológicos,Vino Rosado 75cl Protos,Protos,750.0,"9,95",2023-06-30
418,Bebidas y refrescos,Vinos y licores ecológicos,Cava Brut Nature 750ml Ciento Volando,Ciento Volando,750.0,"7,89",2023-06-30
419,Bebidas y refrescos,Vinos y licores ecológicos,Vermut 750ml Ciento Volando,Ciento Volando,750.0,"11,49",2023-06-30
420,Bebidas y refrescos,Vinos y licores ecológicos,Vino Tinto Ciento Volando 750ml Ciento Volando,Ciento Volando,750.0,"5,89",2023-06-30
421,Bebidas y refrescos,Vinos y licores ecológicos,Vino Blanco 75cl La Traca,La Traca,750.0,"5,90",2023-06-30
422,Bebidas y refrescos,Vinos y licores ecológicos,Vino Tinto La Traca Bobal 75cl La Traca,La Traca,750.0,"5,90",2023-06-30
423,Bebidas y refrescos,Vinos y licores ecológicos,Vino Blanco Finca Montico Verdejo 75cl Marqués De Riscal,Marqués De Riscal,750.0,"13,90",2023-06-30
424,Bebidas y refrescos,Cervezas ecológicas,Cerveza Ámbar sin gluten 33cl Ambar,Ambar,330.0,"1,00",2023-06-30
